alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,12.7129,1.5119e-05,12.1653,4.9518e-05
0.15,9.05232,1.5656e-05,8.83029,5.3058e-05
0.2,7.18551,1.4185e-05,7.33019,5.0787e-05
0.25,6.20467,1.4034e-05,6.1202,4.7038e-05
0.3,5.78705,1.381e-05,5.70958,4.5609e-05
0.35,5.33915,1.4057e-05,5.35017,4.5262e-05
0.4,5.116,3.6374e-05,5.16358,4.5669e-05
0.45,5.01261,1.4105e-05,5.03048,4.3866e-05
0.5,5,1.3944e-05,5,4.4091e-05
0.55,5.02716,1.4031e-05,5.01841,4.3575e-05
0.6,5.08234,1.3908e-05,5.10306,4.2942e-05
0.65,5.13653,1.4079e-05,5.17161,4.2295e-05
0.7,5.25132,1.3981e-05,5.27604,4.1614e-05
0.75,5.43053,1.3913e-05,5.41819,4.1291e-05
0.8,5.57662,1.4217e-05,5.5312,4.0784e-05
0.85,5.79143,1.4114e-05,5.72067,3.9887e-05
0.9,5.91492,1.3899e-05,5.96519,4.0026e-05
0.95,6.21959,1.3926e-05,6.12654,3.9543e-05
