# Best_alpha = -0.998000 Best_beta = -0.998000 Best_Energy = -0.998000 index of best_ vals = 2
mean(E_l), std(E_l), Var(E_l), alpha, beta
-2.020436, 0.000000, 0.000000, -1.000000, 0.000000, 
-2.131270, 0.000000, 0.000000, -0.999000, 0.000000, 
-2.229697, 0.000000, 0.000000, -0.998000, 0.000000, 
-2.204015, 0.000000, 0.000000, -0.997000, 0.000000, 
-2.149984, 0.000000, 0.000000, -0.996000, 0.000000, 
-2.177562, 0.000000, 0.000000, -0.995000, 0.000000, 
-2.133328, 0.000000, 0.000000, -0.994000, 0.000000, 
-2.091281, 0.000000, 0.000000, -0.993000, 0.000000, 
-2.109517, 0.000000, 0.000000, -0.992000, 0.000000, 
-2.219536, 0.000000, 0.000000, -0.991000, 0.000000, 
-2.019589, 0.000000, 0.000000, -0.990000, 0.000000, 
-2.089295, 0.000000, 0.000000, -0.989000, 0.000000, 
-2.138492, 0.000000, 0.000000, -0.988000, 0.000000, 
-2.165168, 0.000000, 0.000000, -0.987000, 0.000000, 
-2.163355, 0.000000, 0.000000, -0.986000, 0.000000, 
-2.138588, 0.000000, 0.000000, -0.985000, 0.000000, 
-2.121998, 0.000000, 0.000000, -0.984000, 0.000000, 
-2.050487, 0.000000, 0.000000, -0.983000, 0.000000, 
-2.128674, 0.000000, 0.000000, -0.982000, 0.000000, 
-2.213173, 0.000000, 0.000000, -0.981000, 0.000000, 
-2.101826, 0.000000, 0.000000, -0.980000, 0.000000, 
-2.142227, 0.000000, 0.000000, -0.979000, 0.000000, 
-2.053974, 0.000000, 0.000000, -0.978000, 0.000000, 
-2.110766, 0.000000, 0.000000, -0.977000, 0.000000, 
-2.099896, 0.000000, 0.000000, -0.976000, 0.000000, 
-2.132910, 0.000000, 0.000000, -0.975000, 0.000000, 
-2.072738, 0.000000, 0.000000, -0.974000, 0.000000, 
-2.094865, 0.000000, 0.000000, -0.973000, 0.000000, 
-2.141178, 0.000000, 0.000000, -0.972000, 0.000000, 
-2.114883, 0.000000, 0.000000, -0.971000, 0.000000, 
-2.069896, 0.000000, 0.000000, -0.970000, 0.000000, 
-2.065408, 0.000000, 0.000000, -0.969000, 0.000000, 
-1.968683, 0.000000, 0.000000, -0.968000, 0.000000, 
-2.109789, 0.000000, 0.000000, -0.967000, 0.000000, 
-2.055464, 0.000000, 0.000000, -0.966000, 0.000000, 
-2.171583, 0.000000, 0.000000, -0.965000, 0.000000, 
-2.073835, 0.000000, 0.000000, -0.964000, 0.000000, 
-2.082649, 0.000000, 0.000000, -0.963000, 0.000000, 
-1.993599, 0.000000, 0.000000, -0.962000, 0.000000, 
-1.933874, 0.000000, 0.000000, -0.961000, 0.000000, 
-2.092740, 0.000000, 0.000000, -0.960000, 0.000000, 
